ds,y
1986-08-14,0.21
1986-08-15,0.20500000000000002
1986-08-18,0.2
1986-08-19,0.2
1986-08-20,0.20500000000000002
1986-08-21,0.215
1986-08-22,0.21
1986-08-25,0.20500000000000002
1986-08-26,0.20500000000000002
1986-08-27,0.2
1986-08-28,0.2
1986-08-29,0.2
1986-09-02,0.21
1986-09-03,0.215
1986-09-04,0.235
1986-09-05,0.235
1986-09-08,0.235
1986-09-09,0.235
1986-09-10,0.25
1986-09-11,0.22
1986-09-12,0.225
1986-09-15,0.245
1986-09-16,0.26
1986-09-17,0.275
1986-09-18,0.275
1986-09-19,0.275
1986-09-22,0.265
1986-09-23,0.26
1986-09-24,0.265
1986-09-25,0.26
1986-09-26,0.255
1986-09-29,0.255
1986-09-30,0.26
1986-10-01,0.26
1986-10-02,0.26
1986-10-03,0.26
1986-10-06,0.265
1986-10-07,0.265
1986-10-08,0.265
1986-10-09,0.265
1986-10-10,0.265
1986-10-13,0.265
1986-10-14,0.265
1986-10-15,0.265
1986-10-17,0.265
1986-10-20,0.265
1986-10-21,0.275
1986-10-22,0.275
1986-10-23,0.28
1986-10-24,0.3
1986-10-27,0.305
1986-10-28,0.305
1986-10-29,0.335
1986-10-30,0.35
1986-10-31,0.345
1986-11-03,0.335
1986-11-04,0.33
1986-11-05,0.325
1986-11-06,0.335
1986-11-07,0.335
1986-11-10,0.34
1986-11-11,0.34
1986-11-12,0.34
1986-11-13,0.34
1986-11-14,0.34
1986-11-17,0.34
1986-11-18,0.335
1986-11-19,0.335
1986-11-20,0.335
1986-11-21,0.335
1986-11-24,0.335
1986-11-25,0.335
1986-11-26,0.35
1986-11-28,0.365
1986-12-01,0.36
1986-12-02,0.365
1986-12-03,0.365
1986-12-04,0.365
1986-12-05,0.375
1986-12-08,0.395
1986-12-09,0.38
1986-12-10,0.38
1986-12-11,0.35
1986-12-12,0.355
1986-12-15,0.355
1986-12-16,0.345
1986-12-17,0.34
1986-12-18,0.345
1986-12-19,0.345
1986-12-22,0.345
1986-12-23,0.365
1986-12-24,0.375
1986-12-26,0.38
1986-12-29,0.365
1986-12-30,0.375
1986-12-31,0.385
1987-01-02,0.385
1987-01-05,0.4
1987-01-06,0.405
1987-01-07,0.405
1987-01-08,0.415
1987-01-09,0.415
1987-01-12,0.435
1987-01-13,0.445
1987-01-14,0.455
1987-01-15,0.46499999999999997
1987-01-16,0.46499999999999997
1987-01-19,0.48
1987-01-20,0.515
1987-01-21,0.515
1987-01-22,0.51
1987-01-23,0.545
1987-01-26,0.53
1987-01-27,0.535
1987-01-28,0.535
1987-01-29,0.515
1987-01-30,0.505
1987-02-02,0.51
1987-02-03,0.52
1987-02-04,0.525
1987-02-05,0.54
1987-02-06,0.545
1987-02-09,0.555
1987-02-10,0.555
1987-02-11,0.5700000000000001
1987-02-12,0.615
1987-02-13,0.64
1987-02-17,0.67
1987-02-18,0.675
1987-02-19,0.6599999999999999
1987-02-20,0.615
1987-02-23,0.605
1987-02-24,0.64
1987-02-25,0.66
1987-02-26,0.665
1987-02-27,0.665
1987-03-02,0.67
1987-03-03,0.71
1987-03-04,0.8
1987-03-05,0.825
1987-03-06,0.8200000000000001
1987-03-09,0.8200000000000001
1987-03-10,0.825
1987-03-11,0.85
1987-03-12,0.895
1987-03-13,0.8999999999999999
1987-03-16,1.005
1987-03-17,0.9850000000000001
1987-03-18,0.97
1987-03-19,0.96
1987-03-20,0.94
1987-03-23,0.8899999999999999
1987-03-24,0.865
1987-03-25,0.885
1987-03-26,0.9299999999999999
1987-03-27,0.96
1987-03-30,0.935
1987-03-31,0.985
1987-04-01,1.025
1987-04-02,1.155
1987-04-03,1.19
1987-04-06,1.2149999999999999
1987-04-07,1.26
1987-04-08,1.24
1987-04-09,1.21
1987-04-10,1.1749999999999998
1987-04-13,1.15
1987-04-14,1.08
1987-04-15,1.0550000000000002
1987-04-16,1.175
1987-04-20,1.1749999999999998
1987-04-21,1.165
1987-04-22,1.2149999999999999
1987-04-23,1.23
1987-04-24,1.2149999999999999
1987-04-27,1.2149999999999999
1987-04-28,1.295
1987-04-29,1.415
1987-04-30,1.4449999999999998
1987-05-01,1.4249999999999998
1987-05-04,1.4249999999999998
1987-05-05,1.5
1987-05-06,1.605
1987-05-07,1.58
1987-05-08,1.5950000000000002
1987-05-11,1.58
1987-05-12,1.54
1987-05-13,1.5550000000000002
1987-05-14,1.56
1987-05-15,1.5350000000000001
1987-05-18,1.44
1987-05-19,1.4449999999999998
1987-05-20,1.375
1987-05-21,1.42
1987-05-22,1.43
1987-05-26,1.43
1987-05-27,1.4249999999999998
1987-05-28,1.415
1987-05-29,1.42
1987-06-01,1.415
1987-06-02,1.4249999999999998
1987-06-03,1.3599999999999999
1987-06-04,1.26
1987-06-05,1.2
1987-06-08,1.045
1987-06-09,1.1
1987-06-10,1.0899999999999999
1987-06-11,1.03
1987-06-12,0.98
1987-06-15,0.9099999999999999
1987-06-16,1.005
1987-06-17,1.1099999999999999
1987-06-18,1.09
1987-06-19,1.0950000000000002
1987-06-22,1.105
1987-06-23,1.105
1987-06-24,1.085
1987-06-25,1.045
1987-06-26,1.005
1987-06-29,1.04
1987-06-30,1.04
1987-07-01,1.025
1987-07-02,1.02
1987-07-06,1.01
1987-07-07,0.9450000000000001
1987-07-08,0.95
1987-07-09,0.995
1987-07-10,1.01
1987-07-13,0.9550000000000001
1987-07-14,1.03
1987-07-15,1.02
1987-07-16,0.99
1987-07-17,0.995
1987-07-20,0.975
1987-07-21,0.97
1987-07-22,0.965
1987-07-23,0.94
1987-07-24,0.935
1987-07-27,0.985
1987-07-28,1.0
1987-07-29,0.9550000000000001
1987-07-30,0.935
1987-07-31,0.96
1987-08-03,0.96
1987-08-04,0.915
1987-08-05,0.9299999999999999
1987-08-06,0.98
1987-08-07,1.045
1987-08-10,1.09
1987-08-11,1.125
1987-08-12,1.12
1987-08-13,1.105
1987-08-14,1.085
1987-08-17,1.0750000000000002
1987-08-18,1.045
1987-08-19,1.02
1987-08-20,1.065
1987-08-21,1.07
1987-08-24,1.05
1987-08-25,1.065
1987-08-26,1.07
1987-08-27,1.04
1987-08-28,1.005
1987-08-31,0.96
1987-09-01,0.985
1987-09-02,0.975
1987-09-03,0.99
1987-09-04,0.995
1987-09-08,0.97
1987-09-09,0.98
1987-09-10,1.025
1987-09-11,1.08
1987-09-14,1.0550000000000002
1987-09-15,1.01
1987-09-16,1.02
1987-09-17,1.075
1987-09-18,1.125
1987-09-21,1.06
1987-09-22,1.07
1987-09-23,1.09
1987-09-24,1.08
1987-09-25,1.0950000000000002
1987-09-28,1.13
1987-09-29,1.16
1987-09-30,1.145
1987-10-01,1.165
1987-10-02,1.25
1987-10-05,1.31
1987-10-06,1.295
1987-10-07,1.2349999999999999
1987-10-08,1.18
1987-10-09,1.17
1987-10-12,1.13
1987-10-13,1.145
1987-10-14,1.1400000000000001
1987-10-15,1.165
1987-10-16,1.12
1987-10-19,0.99
1987-10-20,0.775
1987-10-21,0.855
1987-10-22,0.76
1987-10-23,0.665
1987-10-26,0.5349999999999999
1987-10-27,0.485
1987-10-28,0.44
1987-10-29,0.51
1987-10-30,0.7
1987-11-02,0.69
1987-11-03,0.6950000000000001
1987-11-04,0.6950000000000001
1987-11-05,0.715
1987-11-06,0.6799999999999999
1987-11-09,0.64
1987-11-10,0.645
1987-11-11,0.69
1987-11-12,0.735
1987-11-13,0.7050000000000001
1987-11-16,0.71
1987-11-17,0.675
1987-11-18,0.6699999999999999
1987-11-19,0.675
1987-11-20,0.64
1987-11-23,0.665
1987-11-24,0.725
1987-11-25,0.77
1987-11-27,0.77
1987-11-30,0.725
1987-12-01,0.715
1987-12-02,0.715
1987-12-03,0.73
1987-12-04,0.6950000000000001
1987-12-07,0.695
1987-12-08,0.71
1987-12-09,0.75
1987-12-10,0.77
1987-12-11,0.815
1987-12-14,0.845
1987-12-15,0.865
1987-12-16,0.86
1987-12-17,0.865
1987-12-18,0.835
1987-12-21,0.85
1987-12-22,0.815
1987-12-23,0.81
1987-12-24,0.805
1987-12-28,0.795
1987-12-29,0.8200000000000001
1987-12-30,0.85
1987-12-31,0.855
1988-01-04,0.875
1988-01-05,0.91
1988-01-06,0.87
1988-01-07,0.825
1988-01-08,0.7949999999999999
1988-01-11,0.755
1988-01-12,0.79
1988-01-13,0.825
1988-01-14,0.8400000000000001
1988-01-15,0.845
1988-01-18,0.845
1988-01-19,0.835
1988-01-20,0.76
1988-01-21,0.73
1988-01-22,0.74
1988-01-25,0.755
1988-01-26,0.76
1988-01-27,0.775
1988-01-28,0.765
1988-01-29,0.78
1988-02-01,0.78
1988-02-02,0.76
1988-02-03,0.73
1988-02-04,0.71
1988-02-05,0.715
1988-02-08,0.705
1988-02-09,0.725
1988-02-10,0.765
1988-02-11,0.755
1988-02-12,0.76
1988-02-16,0.765
1988-02-17,0.77
1988-02-18,0.785
1988-02-19,0.8200000000000001
1988-02-22,0.845
1988-02-23,0.875
1988-02-24,0.885
1988-02-25,0.9
1988-02-26,0.86
1988-02-29,0.855
1988-03-01,0.88
1988-03-02,0.905
1988-03-03,0.935
1988-03-04,0.9299999999999999
1988-03-07,0.945
1988-03-08,0.95
1988-03-09,0.965
1988-03-10,0.9450000000000001
1988-03-11,0.915
1988-03-14,0.9299999999999999
1988-03-15,0.925
1988-03-16,0.9299999999999999
1988-03-17,0.895
1988-03-18,0.89
1988-03-21,0.915
1988-03-22,0.975
1988-03-23,0.95
1988-03-24,0.95
1988-03-25,0.9450000000000001
1988-03-28,0.915
1988-03-29,0.955
1988-03-30,0.9199999999999999
1988-03-31,0.9
1988-04-04,0.88
1988-04-05,0.89
1988-04-06,0.915
1988-04-07,0.95
1988-04-08,0.965
1988-04-11,1.005
1988-04-12,1.0
1988-04-13,0.99
1988-04-14,0.94
1988-04-15,0.9299999999999999
1988-04-18,0.97
1988-04-19,0.995
1988-04-20,0.99
1988-04-21,0.995
1988-04-22,0.99
1988-04-25,0.995
1988-04-26,1.0350000000000001
1988-04-27,1.04
1988-04-28,1.05
1988-04-29,1.04
1988-05-02,1.04
1988-05-03,1.07
1988-05-04,1.07
1988-05-05,1.0750000000000002
1988-05-06,1.07
1988-05-09,1.05
1988-05-10,1.04
1988-05-11,1.02
1988-05-12,1.02
1988-05-13,1.005
1988-05-16,1.005
1988-05-17,1.03
1988-05-18,0.995
1988-05-19,0.94
1988-05-20,0.95
1988-05-23,0.94
1988-05-24,0.965
1988-05-25,0.97
1988-05-26,0.98
1988-05-27,0.99
1988-05-31,1.005
1988-06-01,1.0550000000000002
1988-06-02,1.065
1988-06-03,1.1099999999999999
1988-06-06,1.135
1988-06-07,1.135
1988-06-08,1.155
1988-06-09,1.1549999999999998
1988-06-10,1.15
1988-06-13,1.1549999999999998
1988-06-14,1.16
1988-06-15,1.125
1988-06-16,1.1150000000000002
1988-06-17,1.1150000000000002
1988-06-20,1.13
1988-06-21,1.16
1988-06-22,1.1749999999999998
1988-06-23,1.1749999999999998
1988-06-24,1.18
1988-06-27,1.165
1988-06-28,1.16
1988-06-29,1.17
1988-06-30,1.18
1988-07-01,1.185
1988-07-05,1.19
1988-07-06,1.21
1988-07-07,1.24
1988-07-08,1.3050000000000002
1988-07-11,1.28
1988-07-12,1.255
1988-07-13,1.2349999999999999
1988-07-14,1.27
1988-07-15,1.29
1988-07-18,1.28
1988-07-19,1.25
1988-07-20,1.225
1988-07-21,1.205
1988-07-22,1.2
1988-07-25,1.2349999999999999
1988-07-26,1.255
1988-07-27,1.25
1988-07-28,1.23
1988-07-29,1.23
1988-08-01,1.2349999999999999
1988-08-02,1.2349999999999999
1988-08-03,1.2349999999999999
1988-08-04,1.2349999999999999
1988-08-05,1.19
1988-08-08,1.1949999999999998
1988-08-09,1.185
1988-08-10,1.135
1988-08-11,1.12
1988-08-12,1.1150000000000002
1988-08-15,1.105
1988-08-16,1.1
1988-08-17,1.115
1988-08-18,1.065
1988-08-19,1.045
1988-08-22,1.03
1988-08-23,1.045
1988-08-24,1.065
1988-08-25,1.065
1988-08-26,1.09
1988-08-29,1.125
1988-08-30,1.1549999999999998
1988-08-31,1.1549999999999998
1988-09-01,1.105
1988-09-02,1.125
1988-09-06,1.135
1988-09-07,1.12
1988-09-08,1.1099999999999999
