ds,y
1983-03-21,8.92
1983-03-22,8.735
1983-03-23,8.64
1983-03-24,8.719999999999999
1983-03-25,8.905000000000001
1983-03-28,8.844999999999999
1983-03-29,8.6
1983-03-30,8.64
1983-03-31,8.935
1983-04-04,8.175
1983-04-05,8.315000000000001
1983-04-06,7.9350000000000005
1983-04-07,7.845000000000001
1983-04-08,8.02
1983-04-11,8.345
1983-04-12,8.455
1983-04-13,8.875
1983-04-14,9.235
1983-04-15,9.44
1983-04-18,9.33
1983-04-19,9.125
1983-04-20,9.37
1983-04-21,9.595
1983-04-22,9.315000000000001
1983-04-25,9.06
1983-04-26,9.16
1983-04-27,9.39
1983-04-28,9.344999999999999
1983-04-29,9.405000000000001
1983-05-02,9.39
1983-05-03,9.645
1983-05-04,10.219999999999999
1983-05-05,10.84
1983-05-06,11.27
1983-05-09,11.27
1983-05-10,11.375
1983-05-11,11.344999999999999
1983-05-12,11.08
1983-05-13,11.285
1983-05-16,11.36
1983-05-17,11.36
1983-05-18,11.36
1983-05-19,11.25
1983-05-20,11.565000000000001
1983-05-23,11.86
1983-05-24,12.36
1983-05-25,13.065000000000001
1983-05-26,12.77
1983-05-27,12.455
1983-05-31,12.16
1983-06-01,12.39
1983-06-02,12.825
1983-06-03,13.3
1983-06-06,13.469999999999999
1983-06-07,13.42
1983-06-08,13.155
1983-06-09,13.11
1983-06-10,13.155000000000001
1983-06-13,12.955
1983-06-14,12.8
1983-06-15,12.83
1983-06-16,13.530000000000001
1983-06-17,13.655
1983-06-20,13.535
1983-06-21,13.33
1983-06-22,14.705
1983-06-23,15.675
1983-06-24,15.78
1983-06-27,15.8
1983-06-28,15.935
1983-06-29,15.565000000000001
1983-06-30,16.064999999999998
1983-07-01,16.05
1983-07-05,15.705
1983-07-06,15.8
1983-07-07,15.985
1983-07-08,16.0
1983-07-11,16.015
1983-07-12,16.11
1983-07-13,15.265
1983-07-14,15.100000000000001
1983-07-15,14.530000000000001
1983-07-18,14.125
1983-07-19,14.5
1983-07-20,15.375
1983-07-21,16.925
1983-07-22,16.515
1983-07-25,16.295
1983-07-26,16.625
1983-07-27,16.27
1983-07-28,15.36
1983-07-29,14.705
1983-08-01,14.985
1983-08-02,14.89
1983-08-03,14.58
1983-08-04,14.25
1983-08-05,14.205
1983-08-08,13.99
1983-08-09,13.485
1983-08-10,13.39
1983-08-11,13.795
1983-08-12,14.225
1983-08-15,14.39
1983-08-16,13.83
1983-08-17,13.44
1983-08-18,13.465
1983-08-19,13.344999999999999
1983-08-22,13.475
1983-08-23,13.53
1983-08-24,13.875
1983-08-25,13.655000000000001
1983-08-26,14.280000000000001
1983-08-29,14.75
1983-08-30,15.34
1983-08-31,15.5
1983-09-01,15.625
1983-09-02,15.719999999999999
1983-09-06,16.595
1983-09-07,16.155
1983-09-08,16.0
1983-09-09,15.535
1983-09-12,15.22
1983-09-13,14.375
1983-09-14,14.469999999999999
1983-09-15,14.559999999999999
1983-09-16,15.185
1983-09-19,15.75
1983-09-20,16.035
1983-09-21,15.75
1983-09-22,16.0
1983-09-23,15.440000000000001
1983-09-26,15.09
1983-09-27,15.095
1983-09-28,15.5
1983-09-29,15.844999999999999
1983-09-30,15.030000000000001
1983-10-03,14.780000000000001
1983-10-04,15.125
1983-10-05,15.47
1983-10-06,15.870000000000001
1983-10-07,16.32
1983-10-10,16.445
1983-10-11,16.215
1983-10-12,15.845
1983-10-13,15.690000000000001
1983-10-14,15.844999999999999
1983-10-17,16.285
1983-10-18,15.75
1983-10-19,14.559999999999999
1983-10-20,15.28
1983-10-21,14.905000000000001
1983-10-24,15.094999999999999
1983-10-25,15.844999999999999
1983-10-26,15.594999999999999
1983-10-27,15.22
1983-10-28,15.815000000000001
1983-10-31,15.285
1983-11-01,14.75
1983-11-02,15.190000000000001
1983-11-03,14.84
1983-11-04,14.685
1983-11-07,14.185
1983-11-08,13.595
1983-11-09,14.185
1983-11-10,15.280000000000001
