ds,y
1997-05-16,1.845
1997-05-19,1.695
1997-05-20,1.6949999999999998
1997-05-21,1.515
1997-05-22,1.38
1997-05-23,1.425
1997-05-27,1.555
1997-05-28,1.585
1997-05-29,1.51
1997-05-30,1.495
1997-06-02,1.5150000000000001
1997-06-03,1.505
1997-06-04,1.4449999999999998
1997-06-05,1.46
1997-06-06,1.6099999999999999
1997-06-09,1.685
1997-06-10,1.62
1997-06-11,1.565
1997-06-12,1.6
1997-06-13,1.6
1997-06-16,1.58
1997-06-17,1.545
1997-06-18,1.52
1997-06-19,1.5150000000000001
1997-06-20,1.525
1997-06-23,1.51
1997-06-24,1.505
1997-06-25,1.51
1997-06-26,1.5150000000000001
1997-06-27,1.5
1997-06-30,1.54
1997-07-01,1.525
1997-07-02,1.55
1997-07-03,1.755
1997-07-07,1.925
1997-07-08,2.185
1997-07-09,2.33
1997-07-10,2.45
1997-07-11,2.365
1997-07-14,2.2199999999999998
1997-07-15,2.31
1997-07-16,2.395
1997-07-17,2.25
1997-07-18,2.1900000000000004
1997-07-21,2.175
1997-07-22,2.125
1997-07-23,2.255
1997-07-24,2.265
1997-07-25,2.2350000000000003
1997-07-28,2.31
1997-07-29,2.415
1997-07-30,2.4699999999999998
1997-07-31,2.385
1997-08-01,2.335
1997-08-04,2.355
1997-08-05,2.24
1997-08-06,2.25
1997-08-07,2.19
1997-08-08,2.2
1997-08-11,2.29
1997-08-12,2.25
1997-08-13,2.2
1997-08-14,2.185
1997-08-15,2.05
1997-08-18,2.01
1997-08-19,2.13
1997-08-20,2.13
1997-08-21,2.12
1997-08-22,2.105
1997-08-25,2.1799999999999997
1997-08-26,2.29
1997-08-27,2.285
1997-08-28,2.34
1997-08-29,2.3499999999999996
1997-09-02,2.355
1997-09-03,2.365
1997-09-04,2.445
1997-09-05,2.565
1997-09-08,2.76
1997-09-09,3.21
1997-09-10,3.225
1997-09-11,3.185
1997-09-12,3.43
1997-09-15,3.365
1997-09-16,3.33
1997-09-17,3.415
1997-09-18,3.375
1997-09-19,3.73
1997-09-22,4.3149999999999995
1997-09-23,4.525
1997-09-24,4.55
1997-09-25,4.199999999999999
1997-09-26,4.154999999999999
1997-09-29,4.075
1997-09-30,4.074999999999999
1997-10-01,4.22
1997-10-02,4.085
1997-10-03,4.05
1997-10-06,4.03
1997-10-07,4.115
1997-10-08,4.075
1997-10-09,3.88
1997-10-10,3.8649999999999998
1997-10-13,3.9850000000000003
1997-10-14,3.965
1997-10-15,3.87
1997-10-16,3.79
1997-10-17,3.59
1997-10-20,3.775
1997-10-21,4.1450000000000005
1997-10-22,4.5
1997-10-23,4.375
1997-10-24,4.8
1997-10-27,4.62
1997-10-28,4.4399999999999995
1997-10-29,5.25
1997-10-30,5.195
1997-10-31,5.215
1997-11-03,5.085
1997-11-04,4.9350000000000005
1997-11-05,5.0
1997-11-06,4.779999999999999
1997-11-07,4.515
1997-11-10,4.385
1997-11-11,4.115
1997-11-12,3.93
1997-11-13,3.87
1997-11-14,3.995
1997-11-17,4.38
1997-11-18,4.41
1997-11-19,4.414999999999999
1997-11-20,4.555
1997-11-21,4.535
1997-11-24,4.325
1997-11-25,4.1850000000000005
1997-11-26,4.325
1997-11-28,4.220000000000001
1997-12-01,4.26
1997-12-02,4.24
1997-12-03,4.285
1997-12-04,4.47
1997-12-05,4.47
1997-12-08,4.645
1997-12-09,4.685
1997-12-10,4.51
1997-12-11,4.615
1997-12-12,4.605
1997-12-15,4.54
1997-12-16,4.555
1997-12-17,4.359999999999999
1997-12-18,4.33
1997-12-19,4.345
1997-12-22,4.605
1997-12-23,4.68
1997-12-24,4.59
1997-12-26,4.57
1997-12-29,4.655
1997-12-30,4.845000000000001
1997-12-31,4.9399999999999995
1998-01-02,4.9
1998-01-05,4.825
1998-01-06,4.775
1998-01-07,4.76
1998-01-08,4.615
1998-01-09,4.45
1998-01-12,4.27
1998-01-13,4.495
1998-01-14,4.75
1998-01-15,4.9
1998-01-16,4.875
1998-01-20,4.91
1998-01-21,5.025
1998-01-22,5.145
1998-01-23,5.140000000000001
1998-01-26,4.865
1998-01-27,4.765000000000001
1998-01-28,4.725
1998-01-29,4.885
1998-01-30,4.975
1998-02-02,5.075
1998-02-03,5.17
1998-02-04,5.12
1998-02-05,4.995
1998-02-06,4.949999999999999
1998-02-09,4.865
1998-02-10,5.075
1998-02-11,5.37
1998-02-12,5.245
1998-02-13,5.21
1998-02-17,5.145
1998-02-18,5.1
1998-02-19,5.1850000000000005
1998-02-20,5.2
1998-02-23,5.3149999999999995
1998-02-24,5.515
1998-02-25,5.4
1998-02-26,5.76
1998-02-27,6.3100000000000005
1998-03-02,6.345000000000001
1998-03-03,6.135
1998-03-04,6.01
1998-03-05,6.23
1998-03-06,6.285
1998-03-09,6.775
1998-03-10,7.13
1998-03-11,6.699999999999999
1998-03-12,6.595
1998-03-13,6.61
1998-03-16,6.655
1998-03-17,6.59
1998-03-18,6.875
1998-03-19,7.135
1998-03-20,7.0
1998-03-23,6.98
1998-03-24,7.055
1998-03-25,6.95
1998-03-26,6.800000000000001
1998-03-27,7.08
1998-03-30,7.1899999999999995
1998-03-31,7.095000000000001
1998-04-01,7.265000000000001
1998-04-02,7.7700000000000005
1998-04-03,7.859999999999999
1998-04-06,7.625
1998-04-07,7.164999999999999
1998-04-08,7.300000000000001
1998-04-09,7.82
1998-04-13,7.845
1998-04-14,8.045
1998-04-15,8.105
1998-04-16,8.024999999999999
1998-04-17,7.99
1998-04-20,8.049999999999999
1998-04-21,7.77
1998-04-22,7.525
1998-04-23,6.98
1998-04-24,7.05
1998-04-27,6.74
1998-04-28,7.8549999999999995
1998-04-29,8.01
1998-04-30,7.855
1998-05-01,7.734999999999999
1998-05-04,7.885
1998-05-05,7.859999999999999
1998-05-06,7.67
1998-05-07,7.55
1998-05-08,7.595000000000001
1998-05-11,7.48
1998-05-12,7.4399999999999995
1998-05-13,7.655
1998-05-14,7.734999999999999
1998-05-15,7.585
1998-05-18,7.390000000000001
1998-05-19,7.495
1998-05-20,7.484999999999999
1998-05-21,7.390000000000001
1998-05-22,7.255
1998-05-26,6.99
1998-05-27,6.965
1998-05-28,7.205
1998-05-29,7.27
1998-06-01,7.16
1998-06-02,7.17
1998-06-03,7.27
1998-06-04,7.1
1998-06-05,7.295
1998-06-08,7.484999999999999
1998-06-09,8.18
1998-06-10,8.940000000000001
1998-06-11,9.805
1998-06-12,10.145
1998-06-15,10.635
1998-06-16,11.684999999999999
1998-06-17,13.045
1998-06-18,12.855
1998-06-19,12.02
1998-06-22,12.885
1998-06-23,14.440000000000001
1998-06-24,15.82
1998-06-25,16.73
1998-06-26,16.165
1998-06-29,16.195
1998-06-30,16.520000000000003
1998-07-01,17.935
1998-07-02,19.835
1998-07-06,22.19
1998-07-07,22.065
1998-07-08,18.445
1998-07-09,18.46
1998-07-10,17.0
1998-07-13,16.855
1998-07-14,18.56
1998-07-15,18.924999999999997
1998-07-16,18.625
1998-07-17,19.365
1998-07-20,21.655
1998-07-21,22.915
1998-07-22,22.53
1998-07-23,22.125
1998-07-24,20.71
1998-07-27,20.25
1998-07-28,20.335
1998-07-29,19.085
1998-07-30,18.375
1998-07-31,18.69
1998-08-03,18.229999999999997
1998-08-04,18.52
1998-08-05,17.76
1998-08-06,17.965
1998-08-07,19.02
1998-08-10,19.740000000000002
1998-08-11,20.18
1998-08-12,21.3
1998-08-13,21.835
1998-08-14,20.915
1998-08-17,20.14
1998-08-18,20.685000000000002
1998-08-19,21.73
1998-08-20,21.270000000000003
1998-08-21,21.125
1998-08-24,22.095
1998-08-25,22.355
1998-08-26,21.425
1998-08-27,20.33
1998-08-28,18.68
1998-08-31,15.895
1998-09-01,12.635
1998-09-02,14.835
1998-09-03,14.25
1998-09-04,14.335
1998-09-08,15.395
1998-09-09,14.65
1998-09-10,12.98
1998-09-11,12.865
1998-09-14,12.835
1998-09-15,12.095
1998-09-16,13.120000000000001
1998-09-17,13.335
1998-09-18,13.239999999999998
1998-09-21,13.575
1998-09-22,14.925
1998-09-23,16.29
1998-09-24,18.200000000000003
1998-09-25,17.43
1998-09-28,19.325
1998-09-29,19.255
1998-09-30,18.695
1998-10-01,17.585
1998-10-02,17.74
1998-10-05,17.665
1998-10-06,18.02
1998-10-07,16.335
1998-10-08,14.0
1998-10-09,14.635000000000002
1998-10-12,16.165
1998-10-13,15.5
1998-10-14,15.615
1998-10-15,15.864999999999998
1998-10-16,16.58
1998-10-19,17.155
1998-10-20,18.259999999999998
1998-10-21,17.990000000000002
1998-10-22,18.775
1998-10-23,19.369999999999997
1998-10-26,19.884999999999998
1998-10-27,20.17
1998-10-28,19.48
1998-10-29,20.52
1998-10-30,21.205
1998-11-02,21.33
1998-11-03,21.57
1998-11-04,21.55
1998-11-05,21.365000000000002
1998-11-06,21.025
1998-11-09,20.68
1998-11-10,22.34
1998-11-11,21.63
1998-11-12,21.49
1998-11-13,21.6
1998-11-16,21.115
1998-11-17,23.565
1998-11-18,26.845
1998-11-19,27.375
1998-11-20,28.895
1998-11-23,33.715
1998-11-24,36.510000000000005
1998-11-25,35.71
1998-11-27,35.915
1998-11-30,34.335
1998-12-01,32.644999999999996
1998-12-02,33.754999999999995
1998-12-03,32.455
1998-12-04,31.625
1998-12-07,31.59
1998-12-08,32.865
1998-12-09,35.53
1998-12-10,36.135
1998-12-11,36.165
1998-12-14,37.33
1998-12-15,39.04
1998-12-16,46.730000000000004
1998-12-17,46.004999999999995
1998-12-18,47.24
1998-12-21,51.81
1998-12-22,53.135
1998-12-23,54.095
1998-12-24,53.835
1998-12-28,57.24
1998-12-29,56.55
1998-12-30,53.93
1998-12-31,53.93
1999-01-04,56.32
1999-01-05,59.065
1999-01-06,68.595
1999-01-07,73.31
1999-01-08,87.78
1999-01-11,88.155
1999-01-12,85.25
1999-01-13,72.125
1999-01-14,73.81
1999-01-15,71.92
1999-01-19,71.685
1999-01-20,61.69
1999-01-21,50.735
1999-01-22,56.16
1999-01-25,58.345
1999-01-26,57.965
1999-01-27,64.94
1999-01-28,62.25
1999-01-29,59.155
1999-02-01,59.33
1999-02-02,56.235
1999-02-03,58.625
1999-02-04,60.75
1999-02-05,58.8
1999-02-08,55.22
1999-02-09,51.985
1999-02-10,49.595
1999-02-11,52.42
1999-02-12,53.375
1999-02-16,51.375
1999-02-17,48.64
1999-02-18,45.185
1999-02-19,48.375
1999-02-22,51.905
1999-02-23,56.625
1999-02-24,58.105000000000004
1999-02-25,60.06
1999-02-26,62.75
1999-03-01,65.015
1999-03-02,64.205
1999-03-03,61.935
1999-03-04,60.72
1999-03-05,60.72
1999-03-08,61.42
1999-03-09,64.17
1999-03-10,68.235
1999-03-11,68.44
1999-03-12,66.0
1999-03-15,67.5
1999-03-16,68.285
1999-03-17,65.435
1999-03-18,68.095
1999-03-19,69.515
1999-03-22,66.75
1999-03-23,61.97
1999-03-24,59.5
1999-03-25,67.045
1999-03-26,71.285
1999-03-29,74.875
1999-03-30,80.25999999999999
1999-03-31,85.78
1999-04-01,86.905
1999-04-05,89.815
1999-04-06,93.815
1999-04-07,89.64
1999-04-08,87.53
1999-04-09,90.44
1999-04-12,91.06
1999-04-13,92.56
1999-04-14,87.78
1999-04-15,80.375
1999-04-16,93.045
1999-04-19,86.0
1999-04-20,81.955
1999-04-21,87.75
1999-04-22,92.235
1999-04-23,102.065
1999-04-26,104.97
1999-04-27,105.81
1999-04-28,96.095
1999-04-29,86.69
1999-04-30,86.25
1999-05-03,79.295
1999-05-04,75.25
1999-05-05,70.53
1999-05-06,71.69
1999-05-07,68.75
1999-05-10,70.25
1999-05-11,74.47
1999-05-12,72.53
1999-05-13,70.97
1999-05-14,66.145
1999-05-17,64.875
1999-05-18,67.11
1999-05-19,68.28
1999-05-20,67.125
1999-05-21,64.44
1999-05-24,61.345
1999-05-25,58.125
1999-05-26,56.595
1999-05-27,58.64
1999-05-28,58.095
1999-06-01,54.620000000000005
1999-06-02,53.03
1999-06-03,54.75
1999-06-04,52.905
1999-06-07,56.97
1999-06-08,57.94
1999-06-09,56.065
1999-06-10,57.06
1999-06-11,55.44
1999-06-14,48.565
1999-06-15,47.595
1999-06-16,53.5
1999-06-17,57.185
1999-06-18,56.0
1999-06-21,58.83
1999-06-22,61.5
1999-06-23,58.36
1999-06-24,57.955
1999-06-25,56.405
1999-06-28,53.58
1999-06-29,56.75
1999-06-30,61.06
1999-07-01,61.125
1999-07-02,61.69
1999-07-06,64.705
1999-07-07,61.875
1999-07-08,62.205
1999-07-09,62.955
1999-07-12,60.375
1999-07-13,60.545
1999-07-14,65.205
1999-07-15,68.72
1999-07-16,69.655
1999-07-19,67.03
1999-07-20,62.36
1999-07-21,62.120000000000005
1999-07-22,55.47
1999-07-23,54.485
1999-07-26,55.125
1999-07-27,52.625
1999-07-28,51.435
1999-07-29,51.095
1999-07-30,50.065
1999-08-02,49.015
1999-08-03,46.655
1999-08-04,46.095
1999-08-05,45.0
1999-08-06,47.185
1999-08-09,44.015
1999-08-10,43.545
1999-08-11,45.105000000000004
1999-08-12,46.285
1999-08-13,47.89
1999-08-16,49.095
1999-08-17,52.345
1999-08-18,57.5
1999-08-19,54.075
1999-08-20,54.67
1999-08-23,59.065
1999-08-24,60.36
1999-08-25,63.625
1999-08-26,65.765
1999-08-27,63.885
1999-08-30,61.97
1999-08-31,59.215
1999-09-01,61.125
1999-09-02,59.66
1999-09-03,62.31
1999-09-07,63.25
1999-09-08,62.095
1999-09-09,63.41
1999-09-10,66.44
1999-09-13,64.25
1999-09-14,64.595
1999-09-15,66.47
1999-09-16,64.28
1999-09-17,64.375
1999-09-20,63.845
1999-09-21,62.47
1999-09-22,63.595
1999-09-23,64.99
1999-09-24,63.75
1999-09-27,64.88
1999-09-28,63.81
1999-09-29,75.375
1999-09-30,78.875
1999-10-01,77.955
1999-10-04,77.75
1999-10-05,77.25
1999-10-06,81.56
1999-10-07,86.75
1999-10-08,86.97
1999-10-11,88.065
1999-10-12,86.69
1999-10-13,82.28
1999-10-14,80.91
1999-10-15,75.5
1999-10-18,73.78
1999-10-19,76.935
1999-10-20,78.48
1999-10-21,79.935
1999-10-22,80.81
1999-10-25,80.47
1999-10-26,82.215
1999-10-27,77.095
1999-10-28,69.5
1999-10-29,71.03
1999-11-01,69.095
1999-11-02,67.53
1999-11-03,66.75
1999-11-04,64.44
1999-11-05,63.875
1999-11-08,71.75
1999-11-09,76.53
1999-11-10,72.56
1999-11-11,74.0
1999-11-12,72.905
1999-11-15,74.655
1999-11-17,77.72
1999-11-18,76.72
1999-11-19,77.09
1999-11-22,79.25
1999-11-23,80.935
1999-11-24,85.5
1999-11-26,92.87
1999-11-29,93.5
1999-11-30,86.345
1999-12-01,84.925
1999-12-02,88.465
1999-12-03,89.72
1999-12-06,87.285
1999-12-07,86.19
1999-12-08,89.5
1999-12-09,103.22
1999-12-10,108.22
1999-12-13,104.06
1999-12-14,98.78
1999-12-16,96.125
1999-12-17,95.715
1999-12-20,98.53
1999-12-21,97.97
1999-12-22,98.03
1999-12-23,94.03
1999-12-27,84.125
1999-12-28,84.03
1999-12-29,84.0
1999-12-30,81.81
1999-12-31,77.69
2000-01-03,84.305
2000-01-04,86.625
2000-01-05,71.56
2000-01-06,68.345
2000-01-07,68.345
2000-01-10,69.09
2000-01-11,67.5
2000-01-12,65.5
2000-01-13,65.155
2000-01-14,66.31
2000-01-18,64.095
2000-01-19,65.25
2000-01-20,65.47
2000-01-21,62.31
2000-01-24,70.44
2000-01-25,68.625
2000-01-26,67.375
2000-01-27,66.185
2000-01-28,63.22
2000-01-31,61.595
2000-02-01,67.5
2000-02-02,70.0
2000-02-03,81.66
2000-02-04,80.315
2000-02-07,75.0
2000-02-08,78.72
2000-02-09,81.875
2000-02-10,77.69
2000-02-11,77.31
2000-02-14,74.655
2000-02-15,73.405
2000-02-16,72.03
2000-02-17,69.655
2000-02-18,66.44
2000-02-22,64.78
2000-02-23,68.22
2000-02-24,68.5
2000-02-25,67.285
2000-02-28,65.655
2000-02-29,67.425
2000-03-01,66.75
2000-03-02,63.595
2000-03-03,63.405
