ds,y
1998-09-24,0.8628
1998-09-25,0.7681
1998-09-28,0.8502000000000001
1998-09-29,0.86065
1998-09-30,0.7997000000000001
1998-10-01,0.7302500000000001
1998-10-02,0.6734
1998-10-05,0.65025
1998-10-06,0.6145
1998-10-07,0.5829
1998-10-08,0.47770999999999997
1998-10-09,0.54085
1998-10-12,0.55555
1998-10-13,0.53455
1998-10-14,0.53875
1998-10-15,0.54925
1998-10-16,0.61025
1998-10-19,0.7281
1998-10-20,0.8544
1998-10-21,0.867
1998-10-22,0.9028
1998-10-23,0.89225
1998-10-26,1.1595
1998-10-27,1.5025
1998-10-28,1.41415
1998-10-29,1.42885
1998-10-30,1.4415
1998-11-02,1.50255
1998-11-03,1.47725
1998-11-04,1.46885
1998-11-05,1.4247
1998-11-06,1.4457
1998-11-09,1.64355
1998-11-10,2.2012
1998-11-11,2.1843500000000002
1998-11-12,2.15275
1998-11-13,2.2159
1998-11-16,2.2117
1998-11-17,2.25375
1998-11-18,2.4011
1998-11-19,2.6031500000000003
1998-11-20,2.5463
1998-11-23,3.0429
1998-11-24,3.6153000000000004
1998-11-25,3.59215
1998-11-27,3.74575
1998-11-30,3.62165
1998-12-01,3.428
1998-12-02,3.6132
1998-12-03,3.4490499999999997
1998-12-04,3.1418
1998-12-07,3.0682
1998-12-08,3.05555
1998-12-09,3.2218
1998-12-10,3.2513
1998-12-11,3.2891
1998-12-14,3.3186
1998-12-15,3.3628
1998-12-16,3.73735
1998-12-17,4.0236
1998-12-18,4.448650000000001
1998-12-21,4.8885000000000005
1998-12-22,5.202
1998-12-23,5.303050000000001
1998-12-24,5.07785
1998-12-28,5.06945
1998-12-29,4.9178999999999995
1998-12-30,4.3771
1998-12-31,4.3771
1999-01-04,4.23615
1999-01-05,3.96465
1999-01-06,4.54335
1999-01-07,5.1305
1999-01-08,5.3325
1999-01-11,5.1136
1999-01-12,4.66965
1999-01-13,3.9330499999999997
1999-01-14,4.0404
1999-01-15,4.06985
1999-01-19,4.06355
1999-01-20,3.86365
1999-01-21,3.3523
1999-01-22,3.3859500000000002
1999-01-25,3.5122
1999-01-26,3.9268
1999-01-27,5.24625
1999-01-28,5.1894
1999-01-29,4.98735
1999-02-01,4.747450000000001
1999-02-02,4.4297
1999-02-03,4.6212
1999-02-04,4.518050000000001
1999-02-05,4.0951
1999-02-08,4.1014
1999-02-09,3.8762999999999996
1999-02-10,3.58165
1999-02-11,3.9773
1999-02-12,4.175050000000001
1999-02-16,4.158250000000001
1999-02-17,4.1709
1999-02-18,4.0404
1999-02-19,4.1477
1999-02-22,4.617
1999-02-23,5.03995
1999-02-24,5.1536
1999-02-25,5.0947
1999-02-26,5.5745000000000005
1999-03-01,5.79125
1999-03-02,6.05425
1999-03-03,6.378399999999999
1999-03-04,6.6982
1999-03-05,7.52735
1999-03-08,8.5038
1999-03-09,8.91415
1999-03-10,8.43645
1999-03-11,8.04505
1999-03-12,7.56735
1999-03-15,7.89355
1999-03-16,8.43645
1999-03-17,8.15025
1999-03-18,8.3186
1999-03-19,8.45115
1999-03-22,8.3123
1999-03-23,7.758850000000001
1999-03-24,7.4516
1999-03-25,8.404900000000001
1999-03-26,8.2849
1999-03-29,7.8872
1999-03-30,7.399
1999-03-31,7.3001000000000005
1999-04-01,7.2896
1999-04-05,7.6915
1999-04-06,7.9987
1999-04-07,7.9903
1999-04-08,8.40065
1999-04-09,9.3921
1999-04-12,9.63595
1999-04-13,9.43605
1999-04-14,8.97305
1999-04-15,8.80055
1999-04-16,9.21505
1999-04-19,8.5711
1999-04-20,8.15655
1999-04-21,8.754249999999999
1999-04-22,8.935199999999998
1999-04-23,9.8378
1999-04-26,11.067
1999-04-27,11.496500000000001
1999-04-28,10.459
1999-04-29,10.3916
1999-04-30,11.075
1999-05-03,10.36
1999-05-04,9.91365
1999-05-05,9.417200000000001
1999-05-06,9.654900000000001
1999-05-07,9.46115
1999-05-10,9.88435
1999-05-11,10.3555
1999-05-12,10.250499999999999
1999-05-13,10.4275
1999-05-14,9.872
1999-05-17,9.841999999999999
1999-05-18,10.206
1999-05-19,10.2655
1999-05-20,10.103
1999-05-21,9.8525
1999-05-24,9.6129
1999-05-25,9.07425
1999-05-26,8.6385
1999-05-27,9.1035
1999-05-28,9.06775
1999-06-01,9.0952
1999-06-02,8.6006
1999-06-03,8.7079
1999-06-04,8.59845
1999-06-07,9.36455
1999-06-08,9.575099999999999
1999-06-09,9.53275
1999-06-10,9.5308
1999-06-11,9.08035
1999-06-14,7.72095
1999-06-15,7.096
