ds,y
2017-10-04,24.66
2017-10-05,24.36
2017-10-06,24.335
2017-10-09,23.7
2017-10-10,23.509999999999998
2017-10-11,23.015
2017-10-12,22.945
2017-10-13,23.055
2017-10-16,23.205
2017-10-17,23.125
2017-10-18,23.175
2017-10-19,23.415
2017-10-20,22.97
2017-10-23,22.810000000000002
2017-10-24,22.03
2017-10-25,21.595
2017-10-26,21.424999999999997
2017-10-27,20.97
2017-10-30,20.490000000000002
2017-10-31,20.225
2017-11-01,20.240000000000002
2017-11-02,19.8525
2017-11-03,20.095
2017-11-06,20.305
2017-11-07,20.185000000000002
2017-11-08,20.195
2017-11-09,19.960500000000003
2017-11-10,20.29
