ds,y
2004-08-19,50.004999999999995
2004-08-20,52.394999999999996
2004-08-23,55.6325
2004-08-24,53.7925
2004-08-25,52.97
2004-08-26,53.1525
2004-08-27,53.5775
2004-08-30,51.875
2004-08-31,51.4675
2004-09-01,50.66
2004-09-02,50.3275
2004-09-03,50.265
2004-09-07,50.4025
2004-09-08,50.8825
2004-09-09,50.927499999999995
2004-09-10,51.965
2004-09-13,53.7175
2004-09-14,54.697500000000005
2004-09-15,56.1075
2004-09-16,56.8625
2004-09-17,57.76
2004-09-20,59.5925
2004-09-21,59.4825
2004-09-22,59.120000000000005
2004-09-23,59.912499999999994
2004-09-24,60.965
2004-09-27,59.67
2004-09-28,61.9025
2004-09-29,65.3125
2004-09-30,65.325
2004-10-01,65.785
2004-10-04,67.725
2004-10-05,67.6925
2004-10-06,68.6125
2004-10-07,69.1075
2004-10-08,69.17500000000001
2004-10-11,68.17750000000001
2004-10-12,67.7525
2004-10-13,70.9075
2004-10-14,70.235
2004-10-15,71.8625
2004-10-18,72.60249999999999
2004-10-19,74.9375
2004-10-20,72.14750000000001
2004-10-21,72.9375
2004-10-22,86.0625
2004-10-25,91.745
2004-10-26,93.16
2004-10-27,92.8225
2004-10-28,94.9975
2004-10-29,97.64
2004-11-01,97.235
2004-11-02,98.14500000000001
2004-11-03,98.0875
2004-11-04,93.4375
2004-11-05,87.7125
2004-11-08,86.21000000000001
2004-11-09,85.1175
2004-11-10,84.7125
2004-11-11,87.83
2004-11-12,91.80000000000001
2004-11-15,91.7675
2004-11-16,87.575
2004-11-17,86.625
2004-11-18,85.0375
2004-11-19,84.125
2004-11-22,82.7025
2004-11-23,84.33250000000001
2004-11-24,87.43
2004-11-26,88.8375
2004-11-29,90.115
2004-11-30,90.8125
2004-12-01,90.5125
2004-12-02,90.015
2004-12-03,89.66499999999999
2004-12-06,89.18
2004-12-07,86.6875
2004-12-08,85.60249999999999
2004-12-09,85.4925
2004-12-10,86.54249999999999
2004-12-13,85.6575
2004-12-14,87.10499999999999
2004-12-15,89.3375
2004-12-16,89.11
2004-12-17,89.2625
2004-12-20,92.58250000000001
2004-12-21,92.82
2004-12-22,92.465
2004-12-23,93.65
2004-12-27,95.6
2004-12-28,96.14
2004-12-29,96.325
2004-12-30,97.52
2004-12-31,98.11
2005-01-03,99.775
2005-01-04,99.1
2005-01-05,97.2825
2005-01-06,95.905
2005-01-07,95.7575
2005-01-10,97.4825
2005-01-11,97.7225
2005-01-12,96.6075
2005-01-13,97.86
2005-01-14,98.5325
2005-01-18,100.92
2005-01-19,100.5025
2005-01-20,97.0625
2005-01-21,95.87
2005-01-24,92.4125
2005-01-25,89.6325
2005-01-26,92.14
2005-01-27,93.515
2005-01-28,95.25999999999999
2005-01-31,97.02000000000001
2005-02-01,96.82249999999999
2005-02-02,105.11500000000001
2005-02-03,104.79
2005-02-04,102.59
2005-02-07,100.47749999999999
2005-02-08,98.6375
2005-02-09,97.765
2005-02-10,94.36500000000001
2005-02-11,94.5975
2005-02-14,93.52000000000001
2005-02-15,98.23
2005-02-16,98.405
2005-02-17,99.1425
2005-02-18,98.875
2005-02-22,97.32249999999999
2005-02-23,95.785
2005-02-24,93.02
2005-02-25,93.85749999999999
2005-02-28,93.93
2005-03-01,92.9375
2005-03-02,93.0075
2005-03-03,93.015
2005-03-04,93.08
2005-03-07,94.1575
2005-03-08,93.705
2005-03-09,91.2025
2005-03-10,89.65
2005-03-11,89.525
2005-03-14,87.7425
2005-03-15,88.55250000000001
2005-03-16,88.405
2005-03-17,88.86
2005-03-18,89.67750000000001
2005-03-21,89.85499999999999
2005-03-22,89.94749999999999
2005-03-23,89.55250000000001
2005-03-24,90.015
2005-03-28,91.4375
2005-03-29,90.3375
2005-03-30,90.26249999999999
2005-03-31,89.7575
2005-04-01,90.735
2005-04-04,91.28999999999999
2005-04-05,94.4575
2005-04-06,94.3075
2005-04-07,95.815
2005-04-08,96.63749999999999
2005-04-11,96.78
2005-04-12,95.9575
2005-04-13,96.01249999999999
2005-04-14,96.11500000000001
2005-04-15,93.75
2005-04-18,92.8425
2005-04-19,95.0075
2005-04-20,99.10249999999999
2005-04-21,101.08
2005-04-22,109.565
2005-04-25,110.565
2005-04-26,110.07
2005-04-27,109.39500000000001
2005-04-28,109.95
2005-04-29,110.015
2005-05-02,110.975
2005-05-03,112.37
2005-05-04,114.22
2005-05-05,113.625
2005-05-06,113.93
2005-05-09,113.485
2005-05-10,113.13
2005-05-11,114.975
2005-05-12,115.11
2005-05-13,114.6
2005-05-16,115.045
2005-05-17,115.91
2005-05-18,118.37
2005-05-19,119.86
2005-05-20,120.33
2005-05-23,125.20500000000001
2005-05-24,129.735
2005-05-25,127.905
2005-05-26,130.515
2005-05-27,131.32
2005-05-31,136.94
2005-06-01,143.725
2005-06-02,143.595
2005-06-03,141.68
2005-06-06,143.89999999999998
2005-06-07,147.47
2005-06-08,142.8
2005-06-09,142.265
2005-06-10,141.825
2005-06-13,140.18
2005-06-14,139.75
2005-06-15,136.185
2005-06-16,137.845
2005-06-17,139.05
2005-06-20,139.85000000000002
2005-06-21,143.82
2005-06-22,145.25
2005-06-23,145.325
2005-06-24,146.89499999999998
2005-06-27,149.585
2005-06-28,152.81
2005-06-29,149.13
2005-06-30,147.49
2005-07-01,146.365
2005-07-05,146.555
2005-07-06,147.245
2005-07-07,146.07999999999998
2005-07-08,147.885
2005-07-11,146.905
2005-07-12,146.32999999999998
2005-07-13,147.835
2005-07-14,151.70999999999998
2005-07-15,150.795
2005-07-18,149.915
2005-07-19,153.04000000000002
2005-07-20,153.60000000000002
2005-07-21,157.25
2005-07-22,151.39
2005-07-25,149.565
2005-07-26,147.51999999999998
2005-07-27,147.66
2005-07-28,147.675
2005-07-29,144.95999999999998
2005-08-01,145.15
2005-08-02,147.66
2005-08-03,148.83
2005-08-04,148.56
2005-08-05,147.45999999999998
2005-08-08,146.53
2005-08-09,145.3
2005-08-10,144.3
2005-08-11,141.8
2005-08-12,142.95999999999998
2005-08-15,144.13
2005-08-16,142.785
2005-08-17,142.64
2005-08-18,138.875
2005-08-19,140.265
2005-08-22,138.71
2005-08-23,138.465
2005-08-24,140.3
2005-08-25,140.995
2005-08-26,141.92000000000002
2005-08-29,142.84
2005-08-30,143.85
2005-08-31,143.215
2005-09-01,143.125
2005-09-02,144.11
2005-09-06,144.05
2005-09-07,145.195
2005-09-08,148.16
2005-09-09,148.91500000000002
2005-09-12,153.10500000000002
2005-09-13,155.42000000000002
2005-09-14,153.39499999999998
2005-09-15,151.17000000000002
2005-09-16,151.095
2005-09-19,151.675
2005-09-20,154.135
2005-09-21,154.93
2005-09-22,157.34500000000003
2005-09-23,157.445
2005-09-26,158.38
2005-09-27,157.95
2005-09-28,155.175
2005-09-29,154.2
2005-09-30,157.45
2005-10-03,158.23000000000002
2005-10-04,158.005
2005-10-05,155.725
2005-10-06,156.14
2005-10-07,156.805
2005-10-10,155.99
2005-10-11,154.375
2005-10-12,151.55
2005-10-13,148.17000000000002
2005-10-14,148.195
2005-10-17,149.94
2005-10-18,152.675
2005-10-19,153.45999999999998
2005-10-20,153.07999999999998
2005-10-21,169.86
2005-10-24,172.875
2005-10-25,172.565
2005-10-26,175.55
2005-10-27,177.19
2005-10-28,178.495
2005-10-31,183.57
2005-11-01,188.225
2005-11-02,190.54000000000002
2005-11-03,191.99
2005-11-04,194.31
2005-11-07,197.41000000000003
2005-11-08,196.04500000000002
2005-11-09,191.57999999999998
2005-11-10,192.2
2005-11-11,196.435
2005-11-14,197.435
2005-11-15,196.99
2005-11-16,198.24
2005-11-17,200.82999999999998
2005-11-18,201.08499999999998
2005-11-21,200.865
2005-11-22,205.89
2005-11-23,210.125
2005-11-25,213.515
2005-11-28,213.42000000000002
2005-11-29,207.135
2005-11-30,201.0
2005-12-01,205.93
2005-12-02,208.345
2005-12-05,205.445
2005-12-06,204.52499999999998
2005-12-07,201.425
2005-12-08,203.32
2005-12-09,206.08499999999998
2005-12-12,206.29
2005-12-13,207.41
2005-12-14,208.8
2005-12-15,209.91
2005-12-16,213.815
2005-12-19,216.57999999999998
2005-12-20,214.22
2005-12-21,214.395
2005-12-22,214.695
2005-12-23,215.32
2005-12-27,213.655
2005-12-28,212.26
2005-12-29,211.97000000000003
2005-12-30,207.985
2006-01-03,213.47500000000002
2006-01-04,222.18
2006-01-05,223.265
2006-01-06,230.935
2006-01-09,233.58499999999998
2006-01-10,233.07
2006-01-11,236.075
2006-01-12,234.125
2006-01-13,232.12
2006-01-17,233.105
2006-01-18,225.15
2006-01-19,221.62
2006-01-20,208.695
2006-01-23,208.53
2006-01-24,219.86
2006-01-25,220.865
2006-01-26,215.89
2006-01-27,216.8
2006-01-30,214.57
2006-01-31,215.89
2006-02-01,197.38
2006-02-02,200.62
2006-02-03,191.615
2006-02-06,192.365
2006-02-07,186.765
2006-02-08,181.34
2006-02-09,182.63
2006-02-10,179.41
2006-02-13,173.12
2006-02-14,173.51999999999998
2006-02-15,170.95999999999998
2006-02-16,177.87
2006-02-17,183.94
2006-02-21,184.66500000000002
2006-02-22,183.20499999999998
2006-02-23,186.66
2006-02-24,188.39
2006-02-27,192.995
2006-02-28,184.015
2006-03-01,182.685
2006-03-02,185.825
2006-03-03,190.75
2006-03-06,187.635
2006-03-07,181.65
2006-03-08,177.645
2006-03-09,175.005
2006-03-10,169.015
2006-03-13,170.385
2006-03-14,171.245
2006-03-15,173.20499999999998
2006-03-16,171.665
2006-03-17,169.175
2006-03-20,172.905
2006-03-21,172.685
2006-03-22,170.4
2006-03-23,171.49
2006-03-24,183.14999999999998
2006-03-27,184.18
2006-03-28,187.255
2006-03-29,194.63
2006-03-30,194.275
2006-03-31,193.98000000000002
2006-04-03,195.10000000000002
2006-04-04,198.26
2006-04-05,204.345
2006-04-06,204.82999999999998
2006-04-07,204.21499999999997
2006-04-10,205.60000000000002
2006-04-11,206.33
2006-04-12,204.13
2006-04-13,202.565
2006-04-17,203.33499999999998
2006-04-18,202.83499999999998
2006-04-19,205.09
2006-04-20,206.05
2006-04-21,221.72000000000003
2006-04-24,220.305
2006-04-25,216.76
2006-04-26,213.39
2006-04-27,211.57999999999998
2006-04-28,210.505
2006-05-01,204.5
2006-05-02,197.72
2006-05-03,198.095
2006-05-04,197.76999999999998
2006-05-05,198.115
2006-05-08,196.79000000000002
2006-05-09,200.69
2006-05-10,203.395
2006-05-11,197.425
2006-05-12,189.61
2006-05-15,187.10000000000002
2006-05-16,186.685
2006-05-17,187.515
2006-05-18,188.13
2006-05-19,183.765
2006-05-22,184.57
2006-05-23,189.36
2006-05-24,188.76
2006-05-25,188.82999999999998
2006-05-26,191.48000000000002
2006-05-30,188.11
2006-05-31,186.255
2006-06-01,188.65
2006-06-02,191.13
2006-06-05,188.9
2006-06-06,191.575
2006-06-07,195.34
2006-06-08,193.22
2006-06-09,195.2
2006-06-12,192.87
2006-06-13,191.28
2006-06-14,192.405
2006-06-15,193.81
2006-06-16,194.73000000000002
2006-06-19,195.445
2006-06-20,194.6
2006-06-21,198.44
2006-06-22,198.5
2006-06-23,202.625
2006-06-26,202.885
2006-06-27,202.25
2006-06-28,201.9
2006-06-29,206.005
2006-06-30,207.91
2006-07-03,210.8
2006-07-05,209.61
2006-07-06,211.84
2006-07-07,210.94
2006-07-10,210.405
2006-07-11,209.52
2006-07-12,209.865
2006-07-13,206.295
2006-07-14,202.52
2006-07-17,203.68
2006-07-18,202.075
2006-07-19,198.95
2006-07-20,197.525
2006-07-21,192.36
2006-07-24,193.76999999999998
2006-07-25,193.78
2006-07-26,193.73000000000002
2006-07-27,191.36
2006-07-28,192.82
2006-07-31,193.12
2006-08-01,190.32
2006-08-02,185.59
2006-08-03,185.32
2006-08-04,188.11
2006-08-07,187.72000000000003
2006-08-08,190.89499999999998
2006-08-09,190.26
2006-08-10,187.535
2006-08-11,185.82
2006-08-14,185.95
2006-08-15,188.57
2006-08-16,192.64
2006-08-17,193.48000000000002
2006-08-18,191.95999999999998
2006-08-21,188.555
2006-08-22,188.52499999999998
2006-08-23,187.735
2006-08-24,187.165
2006-08-25,186.95499999999998
2006-08-28,188.99
2006-08-29,189.88
2006-08-30,190.79
2006-08-31,190.09
2006-09-01,189.62
2006-09-05,190.70999999999998
2006-09-06,190.715
2006-09-07,189.79
2006-09-08,189.38
2006-09-11,190.61
2006-09-12,194.4
2006-09-13,200.465
2006-09-14,202.05
2006-09-15,204.195
2006-09-18,207.04000000000002
2006-09-19,202.055
2006-09-20,200.505
2006-09-21,202.075
2006-09-22,202.2
2006-09-25,202.985
2006-09-26,202.36
2006-09-27,203.395
2006-09-28,201.88
2006-09-29,201.755
2006-10-02,201.7
2006-10-03,201.165
2006-10-04,204.7
2006-10-05,207.275
2006-10-06,207.92000000000002
2006-10-09,213.845
2006-10-10,215.06
2006-10-11,213.42000000000002
2006-10-12,213.42000000000002
2006-10-13,213.765
2006-10-16,212.635
2006-10-17,210.115
2006-10-18,210.565
2006-10-19,212.265
2006-10-20,228.425
2006-10-23,236.25
2006-10-24,237.315
2006-10-25,240.905
2006-10-26,244.04
2006-10-27,239.43
2006-10-30,237.615
2006-10-31,239.0
2006-11-01,236.095
2006-11-02,235.025
2006-11-03,234.70499999999998
2006-11-06,237.995
2006-11-07,237.695
2006-11-08,237.585
2006-11-09,237.835
2006-11-10,236.25
2006-11-13,238.825
2006-11-14,242.615
2006-11-15,247.94
2006-11-16,247.56
2006-11-17,248.16500000000002
2006-11-20,247.76
2006-11-21,251.45999999999998
2006-11-22,254.695
2006-11-24,252.875
2006-11-27,246.635
2006-11-28,241.72500000000002
2006-11-29,244.245
2006-11-30,242.99
2006-12-01,241.725
2006-12-04,241.7
2006-12-05,243.57999999999998
2006-12-06,244.23
2006-12-07,243.555
2006-12-08,242.15
2006-12-11,243.175
2006-12-12,241.66
2006-12-13,240.63
2006-12-14,240.255
2006-12-15,240.99
2006-12-18,235.865
2006-12-19,231.95499999999998
2006-12-20,233.45499999999998
2006-12-21,229.39499999999998
2006-12-22,227.84
2006-12-26,228.52
2006-12-27,231.79500000000002
2006-12-28,232.70499999999998
2006-12-29,231.085
2007-01-03,234.445
2007-01-04,238.07999999999998
2007-01-05,241.405
2007-01-08,243.01999999999998
2007-01-09,242.36
2007-01-10,243.9
2007-01-11,249.485
2007-01-12,251.25
2007-01-16,254.075
2007-01-17,250.535
2007-01-18,245.98000000000002
2007-01-19,244.375
2007-01-22,242.785
2007-01-23,240.51
2007-01-24,245.70499999999998
2007-01-25,247.54000000000002
2007-01-26,246.235
2007-01-29,247.315
2007-01-30,247.305
2007-01-31,250.13
2007-02-01,246.88
2007-02-02,240.7
2007-02-05,236.05
2007-02-06,235.14
2007-02-07,235.785
2007-02-08,234.73000000000002
2007-02-09,233.54500000000002
2007-02-12,229.355
2007-02-13,230.01
2007-02-14,232.085
2007-02-15,231.71
2007-02-16,233.055
2007-02-20,234.37
2007-02-21,236.60500000000002
2007-02-22,239.66
2007-02-23,236.19
2007-02-26,234.75
2007-02-27,226.74
2007-02-28,224.18
2007-03-01,223.10500000000002
2007-03-02,221.845
2007-03-05,220.625
2007-03-06,226.595
2007-03-07,229.355
2007-03-08,229.9
2007-03-09,227.125
2007-03-12,226.59
2007-03-13,223.69
2007-03-14,221.91500000000002
2007-03-15,223.44
2007-03-16,221.64499999999998
2007-03-19,222.285
2007-03-20,222.8
2007-03-21,225.44
2007-03-22,228.67000000000002
2007-03-23,230.12
2007-03-26,230.155
2007-03-27,231.39499999999998
2007-03-28,231.4
2007-03-29,230.25
2007-03-30,229.885
2007-04-02,227.66
2007-04-03,234.56
2007-04-04,235.64499999999998
2007-04-05,235.425
2007-04-09,234.65
2007-04-10,233.99
2007-04-11,233.0
2007-04-12,232.56
2007-04-13,233.03
2007-04-16,236.29000000000002
2007-04-17,237.0
2007-04-18,237.355
2007-04-19,237.89
2007-04-20,243.63
2007-04-23,240.815
2007-04-24,238.885
2007-04-25,239.37
2007-04-26,240.39
2007-04-27,240.18
2007-04-30,238.185
2007-05-01,234.24
2007-05-02,234.2
2007-05-03,234.83999999999997
2007-05-04,235.18
2007-05-07,234.825
2007-05-08,233.22000000000003
2007-05-09,233.9
2007-05-10,232.625
2007-05-11,232.0
2007-05-14,231.88
2007-05-15,229.985
2007-05-16,233.04
2007-05-17,236.505
2007-05-18,235.615
2007-05-21,236.48000000000002
2007-05-22,238.0
2007-05-23,239.29
2007-05-24,237.675
2007-05-25,240.56
2007-05-29,243.95
2007-05-30,245.45999999999998
2007-05-31,251.45999999999998
2007-06-01,250.735
2007-06-04,252.03
2007-06-05,256.4
2007-06-06,259.01
2007-06-07,259.755
2007-06-08,257.275
2007-06-11,257.06
2007-06-12,253.71
2007-06-13,251.805
2007-06-14,251.89499999999998
2007-06-15,252.56
2007-06-18,255.06
2007-06-19,257.195
2007-06-20,256.955
2007-06-21,255.39
2007-06-22,260.275
2007-06-25,264.595
2007-06-26,264.86
2007-06-27,261.89
2007-06-28,263.325
2007-06-29,261.71500000000003
2007-07-02,264.01
2007-07-03,265.475
2007-07-05,269.14
2007-07-06,270.65
2007-07-09,272.25
2007-07-10,272.15999999999997
2007-07-11,271.625
2007-07-12,271.885
2007-07-13,274.975
2007-07-16,276.97
2007-07-17,277.525
2007-07-18,274.575
2007-07-19,273.94
2007-07-20,258.16999999999996
2007-07-23,258.03999999999996
2007-07-24,256.45500000000004
2007-07-25,255.64499999999998
2007-07-26,252.87
2007-07-27,255.53
2007-07-30,257.46000000000004
2007-07-31,257.61
2007-08-01,256.16499999999996
2007-08-02,256.0
2007-08-03,254.05
2007-08-06,253.16500000000002
2007-08-07,257.23
2007-08-08,260.71500000000003
2007-08-09,260.365
2007-08-10,256.09000000000003
2007-08-13,258.2
2007-08-14,256.35
2007-08-15,252.10000000000002
2007-08-16,244.225
2007-08-17,248.16
2007-08-20,249.64
2007-08-21,251.48000000000002
2007-08-22,256.37
2007-08-23,255.78
2007-08-24,256.01
2007-08-27,257.21500000000003
2007-08-28,255.195
2007-08-29,255.135
2007-08-30,256.495
2007-08-31,256.995
2007-09-04,260.655
2007-09-05,262.93
2007-09-06,262.02
2007-09-07,259.51
2007-09-10,258.24
2007-09-11,259.34000000000003
2007-09-12,261.745
2007-09-13,262.605
2007-09-14,263.125
2007-09-17,263.34000000000003
2007-09-18,265.38
2007-09-19,272.08000000000004
2007-09-20,275.71
