ds,y
2000-12-08,7.263
2000-12-11,8.14995
2000-12-12,7.7638
2000-12-13,7.7674
2000-12-14,7.6683
2000-12-15,7.30885
2000-12-18,7.63375
2000-12-19,7.5114
2000-12-20,7.1902
2000-12-21,6.9306
2000-12-22,7.2402
2000-12-26,7.3126
2000-12-27,7.14085
2000-12-28,7.2018
2000-12-29,7.4311
2001-01-02,7.44275
2001-01-03,7.04885
2001-01-04,6.9992
2001-01-05,6.9306
2001-01-08,6.82325
2001-01-09,6.689500000000001
2001-01-10,6.49845
2001-01-11,6.78525
2001-01-12,7.21335
2001-01-16,7.52665
2001-01-17,7.4082
2001-01-18,7.2631
2001-01-19,7.16365
2001-01-22,6.92665
2001-01-23,6.930350000000001
2001-01-24,6.678050000000001
2001-01-25,6.5442
2001-01-26,7.02595
2001-01-29,7.38145
2001-01-30,7.45405
2001-01-31,7.53825
2001-02-01,7.53825
2001-02-02,7.9815000000000005
2001-02-05,8.818950000000001
2001-02-06,9.476199999999999
2001-02-07,9.342199999999998
2001-02-08,9.48365
2001-02-09,9.4039
2001-02-12,9.15145
2001-02-13,9.175350000000002
2001-02-14,8.7928
2001-02-15,8.36385
2001-02-16,8.12325
2001-02-20,7.859
2001-02-21,7.4539
2001-02-22,7.2972
2001-02-23,7.4427
2001-02-26,8.01575
2001-02-27,8.2909
2001-02-28,8.39475
2001-03-01,7.79025
2001-03-02,7.54585
2001-03-05,7.897349999999999
2001-03-06,7.908950000000001
2001-03-07,7.82485
2001-03-08,7.69495
2001-03-09,7.645250000000001
2001-03-12,7.21315
2001-03-13,7.109999999999999
2001-03-14,7.3549
2001-03-15,7.71795
2001-03-16,7.66035
2001-03-19,7.3850999999999996
2001-03-20,7.5727
2001-03-21,7.49995
2001-03-22,7.52275
2001-03-23,7.6911
2001-03-26,7.74095
2001-03-27,7.6452
2001-03-28,7.24005
2001-03-29,7.11775
2001-03-30,7.454000000000001
2001-04-02,7.5267
2001-04-03,7.3815
2001-04-04,7.3815
2001-04-05,7.706300000000001
2001-04-06,7.4769000000000005
2001-04-09,7.04505
2001-04-10,7.110049999999999
2001-04-11,7.10235
2001-04-12,6.99555
2001-04-16,6.9456500000000005
2001-04-17,7.007
2001-04-18,7.03355
2001-04-19,6.9074
2001-04-20,7.03745
